"","cellids","conf1","conf2","conf3"
"724","D339","unassigned","unassigned","2"
"725","D367","3","unassigned","2"
"726","D372","unassigned","unassigned","2"
"727","D372","3","1","2"
"728","D353","3","1","2"
"729","D367","unassigned","unassigned","2"
"730","D367","unassigned","unassigned","2"
"731","D344","unassigned","unassigned","2"
"732","D363","unassigned","unassigned","2"
"733","D326","3","1","2"
"734","D372","unassigned","unassigned","2"
"735","D367","unassigned","1","2"
"736","D372","3","1","2"
"737","D344","unassigned","unassigned","2"
"738","D353","unassigned","1","2"
"739","D353","3","1","2"
"740","D322","3","1","2"
"741","D372","unassigned","unassigned","2"
"742","D367","3","1","2"
"743","D367","3","1","2"
"744","D363","unassigned","unassigned","2"
"745","D322","3","1","2"
"746","D326","3","1","2"
"747","D363","3","1","2"
"748","D339","3","1","2"
"749","D363","3","1","2"
"750","D353","3","1","2"
"751","D367","unassigned","unassigned","2"
"752","D372","unassigned","unassigned","2"
"753","D372","unassigned","unassigned","2"
"754","D363","unassigned","unassigned","2"
"755","D367","3","1","2"
"756","D322","unassigned","1","2"
"757","D353","unassigned","unassigned","2"
"758","D367","unassigned","unassigned","2"
"759","D372","unassigned","unassigned","2"
"760","D344","unassigned","unassigned","2"
"761","D372","3","1","2"
"762","D353","unassigned","unassigned","unassigned"
"763","D372","unassigned","unassigned","2"
"764","D326","unassigned","unassigned","2"
"765","D363","unassigned","1","2"
"766","D354","unassigned","unassigned","2"
"767","D354","unassigned","unassigned","2"
"768","D322","unassigned","unassigned","2"
"769","D353","3","1","2"
"770","D372","unassigned","unassigned","2"
"771","D372","unassigned","unassigned","2"
"772","D372","unassigned","unassigned","2"
"773","D337","unassigned","unassigned","2"
"774","D353","unassigned","unassigned","2"
"775","D367","3","1","2"
"776","D353","unassigned","unassigned","2"
"777","D372","unassigned","unassigned","2"
"778","D353","3","unassigned","2"
"779","D367","3","1","2"
"780","D353","3","1","2"
"781","D372","unassigned","unassigned","2"
"782","D354","unassigned","1","2"
"783","D363","3","1","2"
"784","D363","unassigned","unassigned","2"
"785","D353","unassigned","unassigned","2"
"786","D363","unassigned","unassigned","2"
"787","D326","unassigned","unassigned","2"
"788","D326","unassigned","unassigned","2"
"789","D353","unassigned","unassigned","2"
"790","D339","3","1","2"
"791","D353","unassigned","unassigned","unassigned"
"792","D322","3","1","2"
"793","D367","3","1","2"
"794","D344","3","1","2"
"795","D344","3","1","2"
"796","D344","3","1","2"
"797","D339","unassigned","unassigned","2"
"798","D367","3","1","2"
"799","D339","unassigned","unassigned","2"
"800","D339","unassigned","unassigned","2"
"801","D353","unassigned","unassigned","2"
"802","D322","unassigned","unassigned","2"
"803","D322","unassigned","unassigned","2"
"804","D326","unassigned","1","2"
"805","D372","unassigned","unassigned","2"
"806","D353","3","1","2"
"807","D367","unassigned","unassigned","2"
"808","D344","unassigned","unassigned","2"
"809","D322","unassigned","unassigned","2"
"810","D372","unassigned","1","2"
"811","D353","unassigned","unassigned","2"
"812","D339","unassigned","unassigned","2"
"813","D353","unassigned","unassigned","2"
"814","D367","3","1","2"
"815","D367","unassigned","1","2"
"816","D326","unassigned","unassigned","2"
"817","D344","unassigned","unassigned","2"
"818","D372","unassigned","unassigned","2"
"819","D353","unassigned","unassigned","2"
"820","D339","unassigned","unassigned","2"
"821","D353","3","1","2"
"822","D353","unassigned","unassigned","2"
"823","D353","unassigned","unassigned","2"
"824","D354","unassigned","unassigned","2"
"825","D367","3","1","2"
"826","D367","unassigned","unassigned","2"
"827","D372","unassigned","unassigned","2"
"828","D372","unassigned","unassigned","2"
"829","D367","3","1","2"
"830","D354","unassigned","unassigned","2"
"831","D337","3","1","2"
"832","D353","unassigned","unassigned","2"
"833","D354","unassigned","unassigned","2"
"834","D322","unassigned","unassigned","2"
"835","D339","3","1","2"
"836","D339","3","1","2"
"837","D353","unassigned","unassigned","2"
"838","D372","unassigned","unassigned","2"
"839","D354","unassigned","unassigned","2"
"840","D372","unassigned","unassigned","2"
"841","D353","unassigned","unassigned","2"
"842","D344","unassigned","unassigned","2"
"843","D344","3","1","2"
"844","D367","unassigned","unassigned","2"
"845","D337","unassigned","unassigned","2"
"846","D372","unassigned","unassigned","2"
"847","D367","3","1","2"
"848","D353","3","1","2"
"849","D354","unassigned","unassigned","2"
"850","D354","unassigned","unassigned","2"
"851","D344","unassigned","unassigned","2"
"852","D363","unassigned","unassigned","2"
"853","D339","3","1","2"
"854","D353","3","unassigned","2"
"855","D354","unassigned","unassigned","2"
"856","D344","unassigned","unassigned","2"
"857","D353","3","1","2"
"858","D354","3","unassigned","2"
"859","D372","3","doublet","2"
"860","D367","unassigned","unassigned","2"
"861","D363","unassigned","unassigned","2"
"862","D363","unassigned","unassigned","2"
"863","D326","unassigned","unassigned","2"
"864","D372","unassigned","unassigned","2"
"865","D372","3","1","2"
"866","D372","3","1","2"
"867","D363","unassigned","unassigned","2"
"868","D372","unassigned","unassigned","2"
"869","D363","3","1","2"
"870","D367","unassigned","unassigned","2"
"871","D372","3","unassigned","2"
"872","D353","3","unassigned","2"
"873","D363","3","1","2"
"874","D339","unassigned","unassigned","2"
"875","D322","3","1","2"
"876","D363","unassigned","unassigned","2"
"877","D353","unassigned","unassigned","2"
"878","D344","unassigned","unassigned","2"
"879","D354","unassigned","unassigned","2"
"880","D354","3","1","2"
"881","D367","unassigned","unassigned","2"
"882","D322","3","1","2"
"883","D372","3","1","2"
"884","D322","unassigned","unassigned","2"
"885","D353","unassigned","unassigned","2"
"886","D353","unassigned","unassigned","2"
"887","D354","3","1","2"
"888","D363","unassigned","unassigned","2"
"889","D354","unassigned","unassigned","2"
"890","D326","unassigned","1","2"
"891","D372","unassigned","1","2"
"892","D372","unassigned","unassigned","2"
"893","D353","unassigned","unassigned","2"
"894","D372","unassigned","unassigned","2"
"895","D339","3","1","2"
"896","D363","3","1","2"
"897","D372","3","1","2"
"898","D372","unassigned","unassigned","unassigned"
"899","D372","unassigned","unassigned","unassigned"
"900","D326","unassigned","unassigned","2"
"901","D322","unassigned","1","2"
"902","D353","3","1","2"
"903","D322","unassigned","unassigned","2"
"904","D353","3","1","2"
"905","D354","3","1","2"
"906","D326","unassigned","unassigned","2"
"907","D354","unassigned","1","2"
"908","D354","unassigned","unassigned","2"
"909","D344","unassigned","1","2"
"910","D353","unassigned","1","2"
"911","D354","unassigned","unassigned","2"
"912","D353","unassigned","unassigned","2"
"913","D344","unassigned","unassigned","2"
"914","D353","unassigned","unassigned","2"
"915","D372","unassigned","unassigned","2"
"916","D339","3","1","2"
"917","D353","3","1","2"
"918","D372","unassigned","1","2"
"919","D363","3","1","2"
"920","D367","3","1","2"
"921","D353","3","1","2"
"922","D339","3","1","2"
"923","D326","3","1","2"
"924","D353","unassigned","unassigned","2"
"925","D339","3","1","2"
"926","D372","unassigned","unassigned","unassigned"
"927","D363","unassigned","unassigned","2"
"928","D372","unassigned","unassigned","2"
"929","D344","unassigned","unassigned","2"
"930","D353","3","unassigned","2"
"931","D339","unassigned","unassigned","2"
"932","D339","unassigned","unassigned","2"
"933","D344","unassigned","unassigned","2"
"934","D353","3","1","2"
"935","D339","unassigned","unassigned","2"
"936","D367","unassigned","unassigned","2"
"937","D367","unassigned","unassigned","2"
"938","D367","unassigned","unassigned","2"
"939","D353","3","1","2"
"940","D363","3","1","2"
"941","D354","3","unassigned","2"
"942","D339","unassigned","unassigned","2"
"943","D372","3","unassigned","2"
"944","D326","unassigned","unassigned","2"
"945","D344","unassigned","unassigned","2"
"946","D344","unassigned","unassigned","2"
"947","D337","3","1","2"
"948","D353","3","1","2"
"949","D326","3","1","2"
"950","D322","unassigned","unassigned","2"
"951","D353","unassigned","unassigned","2"
"952","D367","unassigned","1","2"
"953","D322","unassigned","unassigned","2"
"954","D372","3","1","2"
"955","D353","3","1","2"
"956","D372","unassigned","unassigned","2"
"957","D322","3","1","2"
"958","D344","unassigned","unassigned","2"
"959","D339","unassigned","unassigned","2"
"960","D344","unassigned","unassigned","2"
"961","D367","unassigned","unassigned","2"
"962","D367","unassigned","unassigned","2"
"963","D353","3","1","2"
"964","D354","3","1","2"
"965","D354","unassigned","1","2"
"966","D372","unassigned","unassigned","2"
"967","D372","unassigned","1","2"
"968","D363","unassigned","unassigned","2"
"969","D367","unassigned","unassigned","2"
"970","D337","3","1","2"
"971","D353","unassigned","unassigned","2"
"972","D344","3","1","2"
"973","D339","unassigned","unassigned","2"
"974","D372","unassigned","unassigned","2"
"975","D339","3","1","2"
"976","D354","3","1","2"
"977","D354","unassigned","unassigned","2"
"978","D322","unassigned","unassigned","2"
"979","D344","unassigned","unassigned","unassigned"
"980","D353","unassigned","unassigned","2"
"981","D367","3","1","2"
"982","D367","unassigned","unassigned","2"
"983","D353","3","unassigned","2"
"984","D326","3","1","2"
"985","D353","unassigned","unassigned","2"
"986","D353","unassigned","1","2"
"987","D354","unassigned","unassigned","2"
"988","D363","3","1","2"
"989","D354","3","1","2"
"990","D326","3","1","2"
"991","D372","3","1","2"
"992","D322","3","unassigned","2"
"993","D363","3","unassigned","2"
"994","D353","unassigned","unassigned","2"
"995","D367","3","1","2"
"996","D322","unassigned","unassigned","2"
"997","D353","unassigned","unassigned","2"
"998","D322","unassigned","unassigned","2"
"999","D344","unassigned","unassigned","2"
"1000","D353","unassigned","unassigned","2"
"1001","D337","unassigned","unassigned","2"
"1002","D372","unassigned","unassigned","2"
"1003","D372","unassigned","unassigned","2"
"1004","D353","unassigned","unassigned","2"
"1005","D354","3","unassigned","2"
"1006","D372","unassigned","unassigned","2"
"1007","D344","unassigned","unassigned","unassigned"
"1008","D363","3","1","2"
"1009","D367","unassigned","unassigned","2"
"1010","D353","unassigned","unassigned","2"
"1011","D344","3","1","2"
"1012","D367","3","1","2"
"1013","D363","3","1","2"
"1014","D353","unassigned","unassigned","2"
"1015","D372","3","1","2"
"1016","D372","unassigned","unassigned","2"
"1017","D353","unassigned","unassigned","2"
"1018","D353","3","1","2"
"1019","D354","unassigned","unassigned","2"
"1020","D326","unassigned","unassigned","2"
"1021","D353","3","1","2"
"1022","D353","3","1","2"
"1023","D339","3","unassigned","2"
"1024","D363","3","1","2"
"1025","D363","unassigned","unassigned","2"
"1026","D344","unassigned","unassigned","2"
"1027","D367","unassigned","unassigned","2"
"1028","D353","unassigned","unassigned","2"
"1029","D372","3","unassigned","2"
"1030","D339","3","1","2"
"1031","D353","unassigned","unassigned","2"
"1032","D326","unassigned","unassigned","2"
"1033","D372","unassigned","unassigned","2"
"1034","D339","unassigned","unassigned","2"
"1035","D372","unassigned","unassigned","2"
"1036","D337","unassigned","unassigned","2"
"1037","D339","unassigned","unassigned","2"
"1038","D339","3","1","2"
"1039","D372","unassigned","1","2"
"1040","D322","unassigned","unassigned","2"
"1041","D372","3","1","2"
"1042","D353","unassigned","unassigned","2"
"1043","D353","unassigned","unassigned","2"
"1044","D322","unassigned","unassigned","2"
"1045","D372","unassigned","unassigned","2"
"1046","D354","unassigned","unassigned","2"
"1047","D372","unassigned","unassigned","2"
"1048","D367","unassigned","unassigned","2"
"1049","D354","3","1","2"
"1050","D367","3","1","2"
"1051","D339","3","1","2"
"1052","D354","3","1","2"
"1053","D367","3","1","2"
"1054","D353","unassigned","unassigned","2"
"1055","D354","unassigned","unassigned","2"
"1056","D353","unassigned","unassigned","2"
"1057","D363","unassigned","unassigned","2"
"1058","D326","3","1","2"
"1059","D354","unassigned","unassigned","2"
"1060","D367","unassigned","unassigned","2"
"1061","D337","3","1","2"
"1062","D353","unassigned","1","2"
"1063","D363","unassigned","unassigned","2"
"1064","D344","3","1","2"
"1065","D322","unassigned","unassigned","2"
"1066","D353","unassigned","unassigned","2"
"1067","D353","3","1","2"
"1068","D367","3","1","2"
"1069","D344","3","1","2"
"1070","D367","unassigned","1","2"
"1071","D353","unassigned","unassigned","2"
"1072","D372","3","1","2"
"1073","D322","3","1","2"
"1074","D372","3","1","2"
"1075","D367","3","1","2"
"1076","D353","3","unassigned","2"
"1077","D326","3","1","2"
"1078","D367","unassigned","unassigned","2"
"1079","D344","3","unassigned","2"
"1080","D354","3","1","2"
"1081","D322","3","1","2"
"1082","D367","unassigned","unassigned","2"
"1083","D372","3","1","2"
"1084","D353","unassigned","unassigned","2"
"1085","D326","unassigned","unassigned","2"
"1086","D363","unassigned","unassigned","2"
"1087","D372","unassigned","unassigned","2"
"1088","D326","unassigned","unassigned","unassigned"
"1089","D367","unassigned","unassigned","2"
"1090","D363","unassigned","unassigned","2"
"1091","D344","3","1","2"
"1092","D353","unassigned","1","2"
"1093","D354","unassigned","unassigned","2"
"1094","D372","unassigned","unassigned","2"
"1095","D372","3","1","2"
"1096","D322","unassigned","unassigned","2"
"1097","D344","unassigned","unassigned","2"
"1098","D353","unassigned","unassigned","2"
"1099","D353","3","1","2"
"1100","D363","unassigned","unassigned","2"
"1101","D367","unassigned","unassigned","2"
"1102","D363","unassigned","unassigned","2"
"1103","D372","unassigned","unassigned","2"
"1104","D353","unassigned","unassigned","2"
"1105","D372","unassigned","unassigned","2"
"1106","D372","unassigned","unassigned","2"
"1107","D353","unassigned","unassigned","2"
"1108","D337","3","1","2"
"1109","D372","3","1","2"
"1110","D344","3","1","2"
"1111","D372","3","1","2"
"1112","D353","3","1","2"
"1113","D363","3","1","2"
"1114","D339","3","unassigned","2"
"1115","D344","unassigned","unassigned","2"
"1116","D372","unassigned","unassigned","2"
"1117","D367","3","1","2"
"1118","D367","3","1","2"
"1119","D322","3","1","2"
"1120","D322","unassigned","1","2"
"1121","D372","3","1","2"
"1122","D339","unassigned","unassigned","2"
"1123","D372","unassigned","unassigned","2"
"1124","D344","unassigned","unassigned","2"
"1125","D353","unassigned","unassigned","2"
"1126","D367","unassigned","unassigned","2"
"1127","D363","unassigned","unassigned","2"
"1128","D372","unassigned","unassigned","unassigned"
"1129","D372","3","1","2"
"1130","D353","3","1","2"
"1131","D322","3","1","2"
"1132","D363","unassigned","unassigned","2"
"1133","D354","3","1","2"
"1134","D353","3","1","2"
"1135","D353","3","unassigned","2"
"1136","D354","unassigned","unassigned","2"
"1137","D367","3","1","2"
"1138","D322","unassigned","unassigned","2"
"1139","D372","unassigned","unassigned","2"
"1140","D339","3","1","2"
"1141","D339","3","1","2"
"1142","D322","3","unassigned","2"
"1143","D339","unassigned","unassigned","2"
"1144","D322","unassigned","unassigned","2"
"1145","D363","3","1","2"
"1146","D363","3","1","2"
"1147","D353","unassigned","1","2"
"1148","D322","unassigned","1","2"
"1149","D363","unassigned","unassigned","2"
"1150","D353","unassigned","unassigned","2"
"1151","D363","unassigned","unassigned","2"
"1152","D322","unassigned","1","2"
"1153","D353","3","unassigned","2"
"1154","D367","unassigned","unassigned","2"
"1155","D339","unassigned","unassigned","2"
"1156","D372","unassigned","unassigned","2"
"1157","D367","3","1","2"
"1158","D363","unassigned","unassigned","unassigned"
"1159","D372","unassigned","unassigned","2"
"1160","D322","3","1","2"
"1161","D326","unassigned","unassigned","2"
"1162","D372","unassigned","unassigned","2"
"1163","D353","unassigned","1","2"
"1164","D339","3","1","2"
"1165","D363","unassigned","unassigned","2"
"1166","D322","unassigned","unassigned","2"
"1167","D353","unassigned","unassigned","2"
"1168","D372","3","1","2"
"1169","D363","3","1","2"
"1170","D367","3","1","2"
"1171","D353","unassigned","unassigned","unassigned"
"1172","D353","unassigned","unassigned","2"
"1173","D367","3","1","2"
"1174","D367","3","1","2"
"1175","D372","unassigned","unassigned","2"
"1176","D353","3","1","2"
"1177","D372","3","1","2"
"1178","D363","unassigned","unassigned","2"
"1179","D363","unassigned","unassigned","2"
"1180","D372","3","1","2"
"1181","D354","unassigned","unassigned","2"
"1182","D363","unassigned","unassigned","2"
"1183","D353","unassigned","unassigned","2"
"1184","D372","3","1","2"
"1185","D322","3","unassigned","2"
"1186","D353","unassigned","unassigned","2"
"1187","D353","unassigned","unassigned","2"
"1188","D372","unassigned","1","2"
"1189","D367","3","1","2"
"1190","D372","3","1","2"
"1191","D367","3","1","2"
"1192","D367","unassigned","unassigned","2"
"1193","D367","unassigned","unassigned","2"
"1194","D372","3","1","2"
"1195","D353","3","1","2"
"1196","D367","3","1","2"
"1197","D353","unassigned","unassigned","2"
"1198","D353","unassigned","unassigned","2"
"1199","D339","unassigned","unassigned","2"
"1200","D353","unassigned","unassigned","2"
"1201","D367","unassigned","unassigned","2"
"1202","D367","unassigned","unassigned","2"
"1203","D372","3","1","2"
"1204","D372","unassigned","unassigned","2"
"1205","D363","unassigned","unassigned","2"
"1206","D372","unassigned","unassigned","2"
"1207","D367","unassigned","unassigned","2"
"1208","D353","unassigned","unassigned","2"
"1209","D326","unassigned","unassigned","2"
"1210","D363","unassigned","unassigned","2"
"1211","D344","3","1","2"
"1212","D353","unassigned","unassigned","2"
"1213","D363","unassigned","unassigned","2"
"1214","D363","unassigned","unassigned","2"
"1215","D372","3","1","2"
"1216","D344","3","1","2"
"1217","D326","unassigned","1","2"
"1218","D326","3","1","2"
"1219","D354","unassigned","unassigned","2"
"1220","D354","3","1","2"
"1221","D353","unassigned","1","2"
"1222","D322","unassigned","1","2"
"1223","D363","unassigned","unassigned","2"
"1224","D363","unassigned","unassigned","2"
"1225","D337","unassigned","unassigned","2"
"1226","D372","unassigned","unassigned","2"
"1227","D353","unassigned","unassigned","2"
"1228","D363","unassigned","unassigned","2"
"1229","D354","unassigned","unassigned","2"
"1230","D344","unassigned","unassigned","2"
"1231","D337","unassigned","unassigned","2"
"1232","D322","unassigned","unassigned","2"
"1233","D326","unassigned","unassigned","doublet"
"1234","D367","3","unassigned","2"
"1235","D367","3","1","2"
"1236","D353","unassigned","unassigned","2"
"1237","D372","unassigned","unassigned","2"
"1238","D372","3","1","2"
"1239","D372","unassigned","unassigned","2"
"1240","D363","unassigned","unassigned","2"
"1241","D363","unassigned","unassigned","2"
"1242","D344","3","1","2"
"1243","D363","unassigned","unassigned","2"
"1244","D353","unassigned","unassigned","2"
"1245","D337","unassigned","unassigned","2"
"1246","D353","unassigned","unassigned","2"
"1247","D372","unassigned","unassigned","2"
"1248","D367","unassigned","unassigned","2"
"1249","D339","3","1","2"
"1250","D339","unassigned","1","2"
"1251","D353","3","1","2"
"1252","D353","3","1","2"
"1253","D367","3","1","2"
"1254","D353","3","1","2"
"1255","D344","3","1","2"
"1256","D367","0","unassigned","2"
"1257","D353","3","1","2"
"1258","D363","3","1","2"
"1259","D326","unassigned","unassigned","2"
"1260","D372","unassigned","unassigned","2"
"1261","D337","unassigned","unassigned","2"
"1262","D322","3","1","2"
"1263","D339","unassigned","unassigned","2"
"1264","D344","unassigned","unassigned","2"
"1265","D367","unassigned","unassigned","2"
"1266","D363","3","1","2"
"1267","D353","unassigned","unassigned","2"
"1268","D339","unassigned","unassigned","2"
"1269","D344","unassigned","unassigned","2"
"1270","D367","unassigned","unassigned","2"
"1271","D367","3","1","2"
"1272","D354","unassigned","unassigned","2"
"1273","D337","unassigned","unassigned","2"
"1274","D353","3","1","2"
"1275","D344","unassigned","unassigned","2"
"1276","D339","unassigned","unassigned","2"
"1277","D339","unassigned","unassigned","2"
"1278","D353","3","1","2"
"1279","D326","3","1","2"
"1280","D353","unassigned","unassigned","2"
"1281","D367","unassigned","unassigned","2"
"1282","D354","3","1","2"
"1283","D339","unassigned","unassigned","2"
"1284","D353","unassigned","unassigned","2"
"1285","D353","3","1","2"
"1286","D367","unassigned","unassigned","2"
"1287","D337","unassigned","unassigned","2"
"1288","D367","unassigned","unassigned","2"
"1289","D337","unassigned","unassigned","2"
"1290","D363","unassigned","unassigned","2"
"1291","D372","3","1","2"
"1292","D372","3","unassigned","2"
"1293","D367","unassigned","unassigned","2"
"1294","D337","unassigned","unassigned","2"
"1295","D372","3","1","2"
"1296","D326","3","1","2"
"1297","D326","3","1","2"
"1298","D353","unassigned","unassigned","2"
"1299","D344","unassigned","unassigned","2"
"1300","D367","3","1","2"
"1301","D353","unassigned","unassigned","2"
"1302","D372","3","1","2"
"1303","D353","3","1","2"
"1304","D353","3","1","2"
"1305","D367","unassigned","unassigned","2"
"1306","D339","unassigned","unassigned","2"
"1307","D372","3","1","2"
"1308","D367","3","1","2"
"1309","D363","unassigned","unassigned","2"
"1310","D363","unassigned","unassigned","2"
"1311","D344","unassigned","unassigned","2"
"1312","D353","unassigned","unassigned","2"
"1313","D353","unassigned","unassigned","2"
"1314","D326","3","1","2"
"1315","D322","unassigned","unassigned","2"
"1316","D339","unassigned","unassigned","2"
"1317","D363","unassigned","unassigned","2"
"1318","D344","unassigned","unassigned","2"
"1319","D372","unassigned","unassigned","2"
"1320","D372","3","1","2"
"1321","D367","3","1","2"
"1322","D353","3","1","2"
"1323","D339","3","1","2"
"1324","D326","unassigned","unassigned","2"
"1325","D339","unassigned","unassigned","2"
"1326","D339","unassigned","unassigned","2"
"1327","D367","unassigned","unassigned","2"
"1328","D367","3","1","2"
"1329","D353","3","1","2"
"1330","D354","unassigned","unassigned","2"
"1331","D372","3","1","2"
"1332","D372","3","1","2"
"1333","D326","unassigned","1","2"
"1334","D353","3","1","2"
"1335","D372","3","1","2"
"1336","D326","unassigned","unassigned","2"
"1337","D372","unassigned","unassigned","2"
"1338","D353","3","1","2"
"1339","D322","unassigned","1","2"
"1340","D354","3","1","2"
"1341","D339","3","1","2"
"1342","D322","unassigned","unassigned","2"
"1343","D353","unassigned","unassigned","2"
"1344","D367","unassigned","unassigned","2"
"1345","D353","unassigned","1","2"
"1346","D322","unassigned","unassigned","2"
"1347","D363","unassigned","unassigned","2"
"1348","D344","3","1","2"
"1349","D353","3","1","2"
"1350","D326","3","1","2"
"1351","D367","unassigned","unassigned","2"
"1352","D353","unassigned","unassigned","2"
"1353","D353","unassigned","unassigned","2"
"1354","D372","unassigned","unassigned","2"
"1355","D363","unassigned","unassigned","2"
"1356","D326","unassigned","unassigned","2"
"1357","D339","unassigned","unassigned","2"
"1358","D363","unassigned","unassigned","2"
"1359","D322","unassigned","unassigned","2"
"1360","D372","unassigned","unassigned","2"
"1361","D372","3","1","2"
"1362","D367","unassigned","unassigned","2"
"1363","D367","unassigned","unassigned","2"
"1364","D372","3","1","2"
"1365","D354","3","1","2"
"1366","D344","unassigned","unassigned","2"
"1367","D354","unassigned","unassigned","2"
"1368","D326","unassigned","unassigned","2"
"1369","D326","unassigned","unassigned","2"
"1370","D372","3","1","2"
"1371","D353","3","unassigned","2"
"1372","D344","unassigned","unassigned","2"
"1373","D344","unassigned","unassigned","2"
"1374","D344","3","1","2"
"1375","D339","3","1","2"
"1376","D367","3","1","2"
"1377","D326","3","1","2"
"1378","D344","3","1","2"
"1379","D353","3","1","2"
"1380","D354","3","1","2"
"1381","D372","unassigned","unassigned","2"
"1382","D353","unassigned","unassigned","2"
"1383","D326","3","unassigned","2"
"1384","D372","unassigned","unassigned","2"
"1385","D372","unassigned","unassigned","2"
"1386","D353","3","1","2"
"1387","D322","unassigned","unassigned","2"
"1388","D353","unassigned","unassigned","2"
"1389","D354","unassigned","unassigned","2"
"1390","D367","unassigned","unassigned","2"
"1391","D354","unassigned","unassigned","2"
"1392","D326","3","1","2"
"1393","D372","unassigned","unassigned","2"
"1394","D354","3","1","2"
"1395","D372","unassigned","unassigned","2"
"1396","D372","3","1","2"
"1397","D353","3","1","2"
"1398","D322","unassigned","unassigned","2"
"1399","D372","unassigned","unassigned","2"
"1400","D372","3","1","2"
"1401","D363","3","unassigned","2"
"1402","D363","3","unassigned","2"
"1403","D367","3","1","2"
"1404","D363","unassigned","1","2"
"1405","D353","3","1","2"
"1406","D353","unassigned","unassigned","2"
"1407","D322","unassigned","unassigned","unassigned"
"1408","D372","3","1","2"
"1409","D367","3","1","2"
"1410","D353","unassigned","unassigned","2"
"1411","D354","unassigned","unassigned","2"
"1412","D353","unassigned","unassigned","2"
"1413","D372","unassigned","1","2"
"1414","D367","unassigned","unassigned","2"
"1415","D322","unassigned","unassigned","2"
"1416","D326","3","1","2"
"1417","D372","3","unassigned","2"
"1418","D363","unassigned","unassigned","2"
"1419","D337","unassigned","unassigned","2"
"1420","D339","3","1","2"
"1421","D339","3","1","2"
"1422","D354","3","1","2"
"1423","D354","3","1","2"
"1424","D367","unassigned","unassigned","2"
"1425","D372","unassigned","unassigned","2"
"1426","D339","unassigned","unassigned","2"
"1427","D326","3","1","2"
"1428","D339","3","1","2"
"1429","D367","3","unassigned","2"
"1430","D339","unassigned","unassigned","2"
"1431","D372","unassigned","unassigned","2"
"1432","D372","unassigned","unassigned","2"
"1433","D353","unassigned","unassigned","2"
"1434","D326","unassigned","unassigned","2"
"1435","D372","unassigned","unassigned","2"
